"","X","ID","achievement","social","immersion","dfs","fss","scenario"
"P01",1,"P01","lower",3.57142857142857,2.8,3.22222222222222,2.88888888888889,"gamified"
"P02",2,"P02","upper",2.85714285714286,2.2,3.66666666666667,3.88888888888889,"gamified"
"P05",5,"P05","upper",4,3.8,3.77777777777778,2.88888888888889,"gamified"
"P06",6,"P06","lower",3.28571428571429,2.4,3.77777777777778,3.44444444444444,"gamified"
"P09",9,"P09","upper",3.71428571428571,3.4,4,2.88888888888889,"gamified"
"P10",10,"P10","lower",2,2,3.11111111111111,3.33333333333333,"gamified"
"P11",11,"P11","upper",2,3.8,3.44444444444444,3,"gamified"
"P12",12,"P12","upper",3.28571428571429,2.4,2.77777777777778,3.11111111111111,"gamified"
"P13",13,"P13","upper",4,3.4,3.77777777777778,3.44444444444444,"gamified"
"P14",14,"P14","lower",2.57142857142857,3,2.77777777777778,4,"gamified"
"P15",15,"P15","upper",2.57142857142857,4.2,2.55555555555556,4.55555555555556,"gamified"
"P16",16,"P16","lower",1.71428571428571,2.6,3,4.44444444444444,"gamified"
"P17",17,"P17","upper",3.57142857142857,3.2,3.44444444444444,3.88888888888889,"non.gamified"
"P18",18,"P18","upper",3.57142857142857,3.2,3.22222222222222,3.22222222222222,"non.gamified"
"P20",20,"P20","upper",1.28571428571429,2.6,3.88888888888889,3.33333333333333,"non.gamified"
"P21",21,"P21","lower",2.14285714285714,2.8,3.88888888888889,3.22222222222222,"non.gamified"
"P22",22,"P22","lower",2.14285714285714,3.6,3.11111111111111,3.66666666666667,"non.gamified"
"P23",23,"P23","lower",2.28571428571429,2.6,3.88888888888889,3.22222222222222,"non.gamified"
"P24",24,"P24","lower",3.57142857142857,3.2,3.77777777777778,4.44444444444444,"non.gamified"
"P26",25,"P26","lower",2,2.2,3.55555555555556,3.55555555555556,"non.gamified"
"P27",26,"P27","upper",3.85714285714286,4.4,3.22222222222222,3.44444444444444,"non.gamified"
"P28",27,"P28","lower",2.42857142857143,2,4,4,"non.gamified"
"P29",28,"P29","upper",4.85714285714286,3.8,4,3.88888888888889,"non.gamified"
"P31",29,"P31","upper",3,4.2,2.55555555555556,2.66666666666667,"non.gamified"
"P32",30,"P32","lower",2.42857142857143,2.4,4.11111111111111,4.55555555555556,"non.gamified"
